year,cpi,nom_gdp,pop
1972,77,7.000,
1973,83,8.000,
1974,91,9.000,
1975,105,10.000,
1976,123,12.000,
1977,140,14.000,
1978,158,16.000,
1979,177,18.000,
1980,209,21.000,
1981,241,24.000,
1982,281,29.000,
1983,305,33.000,
1984,319,37.000,
1985,372,42.000,
1986,411,49.000,
1987,489,58.000,
1988,520,66.000,
1989,543,72.000,
1990,584,75.000,
1991,601,76.000,
1992,606,77.000,
1993,614,79.000,
1994,621,86.000,
1995,650,92.000,
1996,663,98.000,
1997,670,102.000,
1998,681,105.000,
1999,679,108.000,
2000,692,115.000,
2001,715,122.000,
2002,734,130.000,
2003,745,137.000,
2004,763,148.000,
2005,784,156.787,4.119
2006,816,164.556,4.167
2007,832,175.460,4.212
2008,865,189.010,4.249
2009,882,189.507,4.287
2010,896,196.728,4.337
2011,944,205.801,4.376
2012,953,215.122,4.402
2013,959,218.759,4.430
2014,975,236.650,4.485
2015,979,244.822,4.566
2016,983,257.204,4.659
2017,1000,273.340,4.759
2018,1015,288.812,4.855
2019,1033,299.713,4.935
2020,1054,316.957,5.004
2021,1076,334.009,5.068
2022,1098,350.210,5.127
2023,1120,366.568,5.186
2024,1142,382.538,5.242
2025,1165,399.165,5.295
2026,1189,416.482,5.345
2027,1212,434.498,5.393
2028,1237,453.171,5.438
2029,1261,472.433,5.481
2030,1287,492.342,5.524
2031,1312,512.916,5.565
2032,1339,534.218,5.604
2033,1365,556.330,5.643
