year,cpi,nom_gdp,pop
2007,832,175.367,4.212
2008,866,189.098,4.249
2009,882,189.483,4.287
2010,897,196.701,4.337
2011,944,205.833,4.376
2012,953,215.372,4.402
2013,959,218.827,4.43
2014,975,234.969,4.485
2015,979,245.019,4.566
2016,983,257.736,4.659
2017,1000,274.22,4.759
2018,1014,291.02,4.855
2019,1029,304.591,4.949
2020,1047,319.971,5.028
2021,1068,334.721,5.097
2022,1089,349.792,5.158
2023,1111,366.196,5.207
2024,1133,382.893,5.255
2025,1156,399.954,5.302
2026,1179,417.452,5.349
2027,1202,435.545,5.396
2028,1226,454.26,5.441
2029,1251,473.566,5.485
2030,1276,493.52,5.527
2031,1301,514.141,5.569
2032,1327,535.49,5.609
